data_date,sampled_at_jst,avg_slump_value,machine_count
2026-08-19,2026-08-19T12:00:00+09:00,47,30
2026-08-19,2026-08-19T12:20:00+09:00,77,30
2026-08-19,2026-08-19T12:40:00+09:00,140,30
2026-08-19,2026-08-19T13:00:00+09:00,140,30
2026-08-19,2026-08-19T13:20:00+09:00,137,30
2026-08-19,2026-08-19T13:40:00+09:00,20,30
2026-08-19,2026-08-19T14:00:00+09:00,20,30
2026-08-19,2026-08-19T14:20:00+09:00,-30,30
2026-08-19,2026-08-19T14:40:00+09:00,-30,30
2026-08-19,2026-08-19T15:00:00+09:00,-70,30
2026-08-19,2026-08-19T15:20:00+09:00,-70,30
2026-08-19,2026-08-19T15:40:00+09:00,-130,30
2026-08-19,2026-08-19T16:00:00+09:00,-130,30
2026-08-19,2026-08-19T16:20:00+09:00,-133,30
2026-08-19,2026-08-19T16:40:00+09:00,0,30
2026-08-19,2026-08-19T17:00:00+09:00,0,30
2026-08-19,2026-08-19T17:20:00+09:00,33,30
2026-08-19,2026-08-19T17:40:00+09:00,33,30
2026-08-19,2026-08-19T18:00:00+09:00,33,30
2026-08-19,2026-08-19T18:20:00+09:00,-103,30
2026-08-19,2026-08-19T18:40:00+09:00,-103,30
2026-08-19,2026-08-19T19:00:00+09:00,-217,30
2026-08-19,2026-08-19T19:20:00+09:00,-217,30
2026-08-19,2026-08-19T19:40:00+09:00,-263,30
2026-08-19,2026-08-19T20:00:00+09:00,-263,30
2026-08-19,2026-08-19T20:20:00+09:00,-263,30
2026-08-19,2026-08-19T20:40:00+09:00,-297,30
2026-08-19,2026-08-19T21:00:00+09:00,-297,30
2026-08-19,2026-08-19T21:20:00+09:00,-297,30
2026-08-19,2026-08-19T21:40:00+09:00,-433,30
2026-08-19,2026-08-19T22:00:00+09:00,-433,30
2026-08-19,2026-08-19T22:20:00+09:00,-373,30
2026-08-19,2026-08-19T22:40:00+09:00,-373,30
2026-08-19,2026-08-19T23:00:00+09:00,-237,30
2026-08-19,2026-08-19T23:20:00+09:00,-237,30
2026-08-19,2026-08-19T23:40:00+09:00,-110,30
2026-08-20,2026-08-20T11:00:00+09:00,-57,30
2026-08-20,2026-08-20T11:20:00+09:00,-57,30
2026-08-20,2026-08-20T11:40:00+09:00,-133,30
2026-08-20,2026-08-20T12:00:00+09:00,-133,30
2026-08-20,2026-08-20T12:20:00+09:00,-203,30
2026-08-20,2026-08-20T12:40:00+09:00,-177,30
2026-08-20,2026-08-20T13:00:00+09:00,-177,30
2026-08-20,2026-08-20T13:20:00+09:00,-273,30
2026-08-20,2026-08-20T13:40:00+09:00,-407,30
2026-08-20,2026-08-20T14:00:00+09:00,-407,30
2026-08-20,2026-08-20T14:20:00+09:00,-463,30
2026-08-20,2026-08-20T14:40:00+09:00,-607,30
2026-08-20,2026-08-20T15:00:00+09:00,-607,30
2026-08-20,2026-08-20T15:20:00+09:00,-743,30
2026-08-20,2026-08-20T15:40:00+09:00,-743,30
2026-08-20,2026-08-20T16:00:00+09:00,-773,30
2026-08-20,2026-08-20T16:20:00+09:00,-773,30
2026-08-20,2026-08-20T16:40:00+09:00,-657,30
2026-08-20,2026-08-20T17:00:00+09:00,-657,30
2026-08-20,2026-08-20T17:20:00+09:00,-637,30
2026-08-20,2026-08-20T17:40:00+09:00,-637,30
2026-08-20,2026-08-20T18:00:00+09:00,-667,30
2026-08-20,2026-08-20T18:20:00+09:00,-667,30
2026-08-20,2026-08-20T18:40:00+09:00,-753,30
2026-08-20,2026-08-20T19:00:00+09:00,-753,30
2026-08-20,2026-08-20T19:20:00+09:00,-933,30
2026-08-20,2026-08-20T19:40:00+09:00,-1153,30
2026-08-20,2026-08-20T20:00:00+09:00,-1153,30
2026-08-20,2026-08-20T20:20:00+09:00,-1153,30
2026-08-20,2026-08-20T20:40:00+09:00,-1087,30
2026-08-20,2026-08-20T21:00:00+09:00,-1087,30
2026-08-20,2026-08-20T21:20:00+09:00,-987,30
2026-08-20,2026-08-20T21:40:00+09:00,-987,30
2026-08-20,2026-08-20T22:00:00+09:00,-1180,30
2026-08-20,2026-08-20T22:20:00+09:00,-1180,30
2026-08-20,2026-08-20T22:40:00+09:00,-1157,30
2026-08-20,2026-08-20T23:00:00+09:00,-1157,30
2026-08-20,2026-08-20T23:20:00+09:00,-1077,30
2026-08-20,2026-08-20T23:40:00+09:00,-1077,30
2026-08-20,2026-08-21T00:00:00+09:00,-1073,30
